Money(raw),Sum,Total Funding in GBP,Funding in GBP,Funding in EUR,Funding in USD,Currencies,Economic Benefit,SpinOff,KTP,Countries,Collaborations,Merge,Acquisition,IndustrialUse,AcademicUse,GovUse,PublicUse,Open Source,Policy Influence,Standard,Public Well Being,Public Service Delivery,Improved accessibility,Improved Workforce,Economic impacts,Changed public attitudes,Solutions to societal problems,Improved Env. Sustainability,Improved regulatory environment,Public Engagement,Patent,Award,Clinical Trial,People Affected,ref 1,ref 2,ref 3,ref 4,ref 5,ref 6,ref7,Reference Cite,r1,r2,r3,r4,r5,r6,Citation_2014,CitationChange,StartYears,Duration,ImpactType Cultural,ImpactType Economic,ImpactType Environmental,ImpactType Health,ImpactType Legal,ImpactType Political,ImpactType Societal,ImpactType Technological,Uni_Outputs,Funders,NumOfCases,Research Income,Degree,FTE,2008GPA,Percentageof4(Overall),GPA(Overall),ResearchPower(Overall),Percentageof4(Output),GPA(Output),Percentageof4(Impact),GPA(Impact),Score,Score_4,Score_9,Score_9s,Discrete Variance
4436000,2320496,2320496,0,1430000,2200000,2,0,0,0,,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,798200,75,232,26,10,15,0,0,358,0,0,0,0,0,0,0,358,2005,9,0,0,0,0,0,0,1,0,117,1,4,4976773,41.5,29.1,2.75,18,2.97,86,18,2.85,30,3.3,3.3,3,3.5,7,0.21
1986500,5478511,1413471,559000,1051000,0,2,4065040,0,0,,5,0,0,6,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,14000,24,37,15,58,31,4,0,169,0,0,0,0,0,0,0,169,2001,13,0,0,0,0,0,0,0,1,117,3,4,4976773,41.5,29.1,2.75,18,2.97,86,18,2.85,30,3.3,3.3,3,3.5,7,0.21
1118000,1574447,1574447,559000,1249000,0,2,0,0,2,,4,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72423,13,14,33,25,37,118,0,240,0,0,0,0,0,0,0,240,2003,11,0,0,0,0,0,0,0,1,117,1,4,4976773,41.5,29.1,2.75,18,2.97,86,18,2.85,30,3.3,3.3,3,3.5,7,0.21
669330,669330,669330,669330,0,0,1,0,0,0,,1,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,198669,66,39,19,38,15,11,0,188,0,0,0,0,0,0,0,188,1993,21,0,0,0,0,0,0,0,1,117,1,4,4976773,41.5,29.1,2.75,18,2.97,86,18,2.85,30,3.3,3.3,3,3.5,7,0.21
0,1583143,1583143,0,1947267,0,1,0,0,0,,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,14,6,33,3,0,0,0,56,0,0,0,0,0,0,0,56,2007,7,0,0,0,0,0,0,0,1,28,0,2,622000,7,6.4,2.35,5,2.04,13,7,2.32,0,1.2,1.2,1,1,2,0.16
116044,116044,116044,116044,0,0,1,0,0,2,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,18,0,151,0,0,209,0,0,0,0,0,0,0,209,2005,9,0,0,0,0,0,0,0,1,28,0,2,622000,7,6.4,2.35,5,2.04,13,7,2.32,0,1.2,1.2,1,1,2,0.16
8000,8000,8000,8000,0,0,1,0,0,0,,0,0,0,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,850,66,24,17,3,0,0,0,110,0,0,0,0,0,0,0,110,1994,20,0,0,0,0,0,0,1,0,94,2,3,5469673,36,24,3.05,35,3.32,80,39,3.35,40,3.4,3.4,3,3.5,7,0.24
0,1544715,1544715,0,1900000,0,1,0,0,0,,1,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1711,2951,234,747,0,0,0,5643,0,0,0,0,0,0,0,5643,1998,16,0,0,0,0,0,0,0,1,94,1,3,5469673,36,24,3.05,35,3.32,80,39,3.35,40,3.4,3.4,3,3.5,7,0.24
14890558,3800558,300558,300558,0,0,1,3500000,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,111,244,37,0,0,0,0,392,0,0,0,0,0,0,0,392,2008,6,0,0,0,0,0,0,0,1,94,1,3,5469673,36,24,3.05,35,3.32,80,39,3.35,40,3.4,3.4,3,3.5,7,0.24
35250000,35406747,406747,250000,192800,0,2,35000000,1,1,,3,0,1,3,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,3,249,111,67,0,0,0,430,3,37,38,29,0,0,107,323,2004,10,0,0,0,0,0,0,0,1,52,2,1,5279656,21,12.4,3,15,2.95,37,23,2.98,0,3,3,3,3,6,0
1238355,680155,656155,656155,0,0,1,24000,1,0,,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,4,0,0,0,4,0,67,0,0,0,0,71,0,0,45,0,0,0,45,26,2004,10,0,0,0,0,0,0,0,1,30,2,2,957376,24,7.8,2.05,0,1.74,14,0,1.65,0,2.2,2.2,2,2,4,0.16
229285,229285,229285,229285,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,102,8,57,30,11,0,0,208,0,0,0,0,0,0,0,208,1997,17,0,0,1,0,0,0,0,0,30,3,2,957376,24,7.8,2.05,0,1.74,14,0,1.65,0,2.2,2.2,2,2,4,0.16
2461655010,230725000,725000,725000,0,0,1,230000000,1,0,,3,0,0,39,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,21,31,14,75,1084,27,70,1322,0,0,0,0,0,0,0,1322,1994,20,0,0,0,0,0,0,0,1,95,1,2,12195663,67.11,24.97,3.05,32,3.17,79,20,2.96,73,3.73,3.73,4,4,8,0.2
56564769,25514769,514769,514769,0,0,1,25000000,1,0,,5,0,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,43,11,38,0,0,0,131,0,0,0,0,0,0,0,131,1996,18,0,0,0,0,0,0,0,1,95,1,2,12195663,67.11,24.97,3.05,32,3.17,79,20,2.96,73,3.73,3.73,4,4,8,0.2
15708000,13900000,12000000,12000000,0,0,1,1900000,0,0,,0,0,0,19,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2234,918,289,59,305,16,0,3821,0,0,0,0,0,0,0,3821,1994,20,0,0,0,0,0,0,1,0,109,5,4,18821185,80.33,30.5,2.75,47,3.39,103,32,3.19,70,3.7,3.7,4,3.5,7,0.21
7753350,6500000,6500000,6500000,0,0,1,0,2,0,,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,366,20,19,14,18,0,0,437,0,0,0,0,0,0,0,437,2001,13,0,0,0,0,0,0,0,1,109,3,4,18821185,80.33,30.5,2.75,47,3.39,103,32,3.19,70,3.7,3.7,4,3.5,7,0.21
0,0,0,0,0,0,0,0,0,0,,8,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,90000000,13,2,23,166,43,74,0,321,0,0,0,0,0,0,0,321,1998,16,0,0,0,0,0,0,1,0,109,1,4,18821185,80.33,30.5,2.75,47,3.39,103,32,3.19,70,3.7,3.7,4,3.5,7,0.21
